Date,Open,High,Low,Close,Volume
2022/1/3,117,117.5,114,115,22.18M
2022/1/4,118.4,118.9,115.7,116.9,23.23M
2022/1/5,119,119.1,113.9,114.5,30.72M
2022/1/6,117.5,121.1,117.3,121,47.23M
2022/1/7,126.5,128.8,122.8,128.8,58.78M
2022/1/10,128.8,129.5,125.4,127.6,36.81M
2022/1/11,125,126.5,123.9,125.6,31.66M
2022/1/12,128.6,133.1,128.4,133,44.48M
2022/1/13,135,135,130.4,132.2,36.03M
2022/1/14,126.9,129.3,126.6,129.3,28.24M
2022/1/17,129.3,130.1,127.4,128.5,23.53M
2022/1/18,129.2,130.9,125.4,126.4,23.47M
2022/1/19,126.2,127.3,123.5,124.2,29.73M
2022/1/20,125,132.5,125,131.5,44.80M
2022/1/21,126.1,127.5,124,127.1,61.82M
2022/1/24,122,122,118.7,119.1,54.76M
2022/1/25,116.4,118.8,115.1,116.8,41.28M
2022/1/26,116.3,118.7,114.1,116.9,35.35M
2022/1/27,110.5,111.9,108,108.5,75.47M
2022/1/28,110,111.5,108.6,110,43.81M
2022/1/31,112.1,116.2,111.5,114,29.58M
2022/2/4,120,120.8,118.4,120.4,43.29M
2022/2/7,117.4,118.7,113.6,115,54.76M
2022/2/8,112.6,113.5,110.6,111.2,41.70M
2022/2/9,118,119.4,117,118.8,44.48M
2022/2/10,123,123,119.4,122.2,32.35M
2022/2/11,120.4,122.9,120,122.4,24.20M
2022/2/14,119,119.9,118.2,118.7,19.51M
2022/2/15,118,120,117.4,118.4,16.13M
2022/2/16,122.4,123,121.1,122.5,20.31M
2022/2/17,122,123.3,120.9,123,18.97M
2022/2/18,122.6,124,118.7,119.5,36.06M
2022/2/21,115.8,117.1,114,114.9,36.33M
2022/2/22,109,111.9,108.8,111.4,43.06M
2022/2/23,110,113.3,110,112.4,27.24M
2022/2/24,107.5,108.4,103.6,104.9,64.89M
2022/2/25,107.4,108.2,104.9,105.3,42.61M
2022/2/28,103.3,104.2,100.7,104.2,56.08M
2022/3/1,102.2,104.8,101.9,103.8,30.38M
2022/3/2,103.9,106.6,103.9,103.9,32.17M
2022/3/3,103.5,104.5,103,104.4,23.58M
2022/3/4,98.2,100.2,98.2,99,67.85M
2022/3/7,96.25,98,93.4,96,59.54M
2022/3/8,97.55,99.95,95.8,96.9,49.20M
2022/3/9,96.9,97.35,92.6,96.25,60.56M
2022/3/10,99.7,99.7,94.4,96.1,46.92M
2022/3/11,90.55,92.15,88.05,90.8,75.00M
2022/3/14,86.15,86.6,80.25,80.9,99.11M
2022/3/15,73.8,79.35,71,71.25,166.89M
2022/3/16,74.5,91.05,73.7,90.7,159.31M
2022/3/17,104,104,95.3,102,147.20M
2022/3/18,97.15,100.2,95,98.35,69.22M
2022/3/21,104.8,104.8,97.25,99.1,78.15M
2022/3/22,102.3,111.4,102.1,110.2,82.22M
2022/3/23,114.6,119.4,112.5,117.6,109.74M
2022/3/24,116.4,119,113.5,113.8,56.18M
2022/3/25,111.4,113.5,104.8,107.4,59.75M
2022/3/28,107.4,113.5,106.1,111.1,35.86M
2022/3/29,112.7,114.8,112.2,113.5,28.13M
2022/3/30,115,115.7,112.6,113.9,43.05M
2022/3/31,114.9,114.9,109.7,112.1,26.78M
2022/4/1,106.8,109.7,105.7,109.7,38.71M
2022/4/4,110.6,114.6,110,113.7,41.88M
2022/4/6,109.1,109.8,107.1,107.6,46.64M
2022/4/7,106.4,108.9,105.2,105.2,35.58M
2022/4/8,102.8,103.8,101.5,103.8,38.15M
2022/4/11,102.8,103,97.85,98.5,40.13M
2022/4/12,98.5,100.6,96.35,99,39.68M
2022/4/13,98.4,99.5,97,98.5,24.65M
2022/4/14,97.65,98,93.85,95.5,52.35M
2022/4/19,92.55,93.45,90.9,91.5,34.06M
2022/4/20,91.1,92.95,90.3,90.7,24.19M
2022/4/21,88.75,89.7,86.5,87.9,37.48M
2022/4/22,83.5,87.35,83.4,86.65,33.41M
2022/4/25,84.8,84.95,81.2,81.85,43.00M
2022/4/26,84.5,87.9,83.75,84.9,38.30M
2022/4/27,84.35,85.45,83,84.55,27.92M
2022/4/28,88,88.55,86.3,88.25,40.68M
2022/4/29,88.25,103.8,87.15,102.1,102.13M
2022/5/3,100,103.1,92.5,100.3,103.24M
2022/5/4,98.5,98.55,95.85,96.55,29.18M
2022/5/5,99.5,101.1,96.2,96.7,27.99M
2022/5/6,92.05,92.85,89.3,90.35,50.89M
2022/5/10,83.5,87.2,83.15,86,64.14M
2022/5/11,83.7,87.95,83.6,85.65,63.21M
2022/5/12,81.85,82.55,79.9,80,69.97M
2022/5/13,82.2,82.85,81.25,82.2,53.69M
2022/5/16,86,86.25,83.1,84.6,37.19M
2022/5/17,87.5,91.8,86.65,90.55,65.36M
2022/5/18,90.55,90.55,87.8,90,40.89M
2022/5/19,85,85.4,82.75,83.35,63.97M
2022/5/20,86.3,88.8,85.6,88.05,37.41M
2022/5/23,86.2,86.55,83.85,85.1,48.12M
2022/5/24,84.8,86.3,82.9,83.6,41.59M
2022/5/25,82,84.15,81.35,82.35,39.36M
2022/5/26,82,82,79.65,81.1,44.52M
2022/5/27,91,92.4,89.85,91,94.94M
2022/5/30,91.7,94.9,91.3,94.9,58.24M
2022/5/31,94.6,97.5,93.1,96.25,87.59M
2022/6/1,96,96.2,94,94.6,34.76M
2022/6/2,91.75,93,91,92.3,38.92M
2022/6/6,92.85,98.6,91.25,96.95,61.56M
2022/6/7,96.95,101.8,96.15,98.8,88.85M
2022/6/8,103.4,110.4,102.5,108.8,116.29M
2022/6/9,116.2,116.3,108.1,111.3,113.81M
