Date,Open,High,Low,Close,Volume
2022/1/3,73.2,76.2,73,74.6,11.15M
2022/1/4,74.6,75.2,72.1,73.05,14.56M
2022/1/5,69.4,71.25,67.2,67.55,27.06M
2022/1/6,66.2,69,62.3,67.95,28.98M
2022/1/7,69.25,72.25,68.2,70.75,18.72M
2022/1/10,70.95,79.35,70.7,77.9,36.11M
2022/1/11,78.05,81.45,77.1,80.5,21.12M
2022/1/12,82,86.65,81.65,85.65,33.82M
2022/1/13,86.9,87.5,82.9,85.45,21.39M
2022/1/14,82.1,89.55,81.5,89.55,39.21M
2022/1/17,89.55,90.65,84.7,87.15,16.16M
2022/1/18,88.9,90.55,84.65,85.55,22.20M
2022/1/19,85.3,86.85,83.15,83.75,16.47M
2022/1/20,85.35,90.3,83.85,89.45,41.73M
2022/1/21,87.4,90.05,87,88.35,26.53M
2022/1/24,86.2,86.35,84.1,85.25,18.40M
2022/1/25,83.45,85.2,82.2,82.95,17.10M
2022/1/26,83.45,89.5,83.45,86.3,30.67M
2022/1/27,83.6,84.55,80.85,82.35,17.22M
2022/1/28,82.45,83.25,78.8,82.5,14.89M
2022/1/31,84.3,88.9,84.3,87.95,18.10M
2022/2/4,88.8,90.45,87.1,89.65,19.35M
2022/2/7,88.45,89.8,85.8,89.4,15.37M
2022/2/8,89.35,90.5,88,89.95,15.31M
2022/2/9,91.6,95.55,91.05,94.65,33.17M
2022/2/10,94.35,97,91.55,94.5,20.54M
2022/2/11,92.8,95.7,90.75,92.35,13.74M
2022/2/14,91.2,91.7,88.8,89.75,9.82M
2022/2/15,89.3,91.5,89,90.6,8.39M
2022/2/16,93.5,95.8,92.7,95.6,17.90M
2022/2/17,95.55,99.4,93.7,98.8,22.17M
2022/2/18,97.65,98.6,90,94,24.44M
2022/2/21,92,92.8,85.3,87.15,30.73M
2022/2/22,85.3,90,84.3,89.55,26.77M
2022/2/23,90.35,93.9,87.35,91.65,18.15M
2022/2/24,87.85,89.6,83.85,86.5,28.33M
2022/2/25,88.85,91.5,86.45,86.65,23.56M
2022/2/28,88,91.05,87,89.55,23.96M
2022/3/1,90.05,90.9,87.65,88.65,12.16M
2022/3/2,88.4,88.85,80.8,80.85,35.02M
2022/3/3,82.55,82.9,76,79.9,31.37M
2022/3/4,76.7,79.15,73.65,76.65,41.74M
