Date,Open,High,Low,Close,Volume
2022/1/3,5.29,5.29,4.68,4.8,8.88M
2022/1/4,4.9,5.38,4.8,5,32.41M
2022/1/5,4.99,5,4.68,4.75,16.99M
2022/1/6,4.76,4.84,4.55,4.6,18.11M
2022/1/7,4.7,4.7,4.37,4.5,16.33M
2022/1/10,4.59,5.11,4.44,4.9,27.58M
2022/1/11,4.9,4.9,4.6,4.82,14.97M
2022/1/12,4.9,5.17,4.9,4.98,16.23M
2022/1/13,5.05,5.1,4.74,4.79,8.74M
2022/1/14,4.66,4.9,4.65,4.83,6.16M
2022/1/17,4.9,5,4.71,4.78,7.23M
2022/1/18,4.79,4.97,4.73,4.8,5.74M
2022/1/19,4.92,4.92,4.67,4.7,7.25M
2022/1/20,4.73,4.87,4.66,4.69,8.60M
2022/1/21,4.66,4.72,4.54,4.62,6.26M
2022/1/24,4.59,5.25,4.58,5.1,28.38M
2022/1/25,5,5.54,5,5.11,25.86M
2022/1/26,5.19,5.38,4.97,4.97,13.03M
2022/1/27,4.94,4.94,4.12,4.24,10.11M
2022/1/28,4.25,4.4,4.01,4.22,4.56M
2022/1/31,4.25,4.37,4.02,4.18,1.93M
2022/2/4,4.37,4.4,4.1,4.38,2.46M
2022/2/7,4.52,4.75,4.43,4.49,10.62M
2022/2/8,4.55,4.67,4.48,4.58,5.52M
2022/2/9,4.65,4.72,4.58,4.69,5.91M
2022/2/10,4.83,5.24,4.73,5.21,16.71M
2022/2/11,5.17,5.25,5.02,5.13,10.92M
2022/2/14,5.15,5.16,4.69,4.71,10.07M
2022/2/15,4.68,4.89,4.68,4.75,5.75M
2022/2/16,5.12,5.21,4.81,4.87,17.86M
2022/2/17,4.86,4.96,4.75,4.92,9.22M
2022/2/18,4.9,5.79,4.81,5.57,32.71M
2022/2/21,5.36,5.81,5.33,5.42,17.96M
2022/2/22,5.4,5.4,4.96,5.16,14.89M
2022/2/23,5.22,5.65,5.22,5.34,16.13M
2022/2/24,5.34,5.34,5.02,5.25,11.54M
2022/2/25,5.3,5.48,5.09,5.16,6.96M
2022/2/28,5.03,5.19,4.82,4.88,9.75M
2022/3/1,4.93,5.19,4.88,4.94,10.71M
2022/3/2,4.94,4.94,4.66,4.7,8.57M
2022/3/3,4.69,4.75,4.48,4.64,11.34M
2022/3/4,4.6,4.6,4.38,4.39,8.43M
2022/3/7,4.22,4.37,4.08,4.24,9.43M
2022/3/8,4.24,4.36,4.01,4.01,12.17M
2022/3/9,4.05,4.16,3.81,4.07,10.15M
2022/3/10,4.26,4.33,4.08,4.16,6.41M
2022/3/11,4.01,4.16,3.91,4.1,8.93M
2022/3/14,3.91,4.03,3.77,3.81,11.84M
2022/3/15,3.64,3.78,3.24,3.24,23.83M
2022/3/16,3.52,3.87,3.35,3.84,30.86M
2022/3/17,4.18,4.18,3.82,3.87,20.99M
2022/3/18,3.92,4.13,3.79,4.03,12.37M
2022/3/21,4.2,4.21,3.94,4,7.93M
2022/3/22,3.99,4.1,3.8,4.09,8.42M
2022/3/23,4.14,4.32,4.06,4.2,14.08M
2022/3/24,4.23,4.48,4.17,4.28,10.72M
2022/3/25,4.28,4.31,4,4.07,10.99M
2022/3/28,4.01,4.23,3.92,4.14,5.72M
2022/3/29,4.14,4.24,4.02,4.13,4.51M
2022/3/30,4.13,4.23,4.05,4.17,7.60M
2022/3/31,4.17,4.17,3.91,3.97,2.73M
2022/4/1,3.98,3.98,3.5,3.65,8.00M
2022/4/4,3.74,3.86,3.6,3.8,3.14M
2022/4/6,3.77,4.19,3.73,3.98,13.55M
2022/4/7,3.99,4.09,3.81,3.83,7.78M
2022/4/8,3.84,3.88,3.64,3.67,10.24M
2022/4/11,3.68,3.68,3.45,3.48,8.58M
2022/4/12,3.54,3.79,3.46,3.63,7.22M
2022/4/13,3.63,3.63,3.5,3.54,4.38M
2022/4/14,3.52,3.72,3.52,3.68,5.22M
2022/4/19,3.66,3.66,3.52,3.57,2.41M
2022/4/20,3.62,3.67,3.54,3.54,2.42M
2022/4/21,3.49,3.52,3.36,3.38,5.20M
2022/4/22,3.34,3.42,3.24,3.33,3.82M
2022/4/25,3.25,3.29,3.11,3.16,8.48M
2022/4/26,3.18,3.32,3.14,3.18,4.41M
2022/4/27,3.07,3.21,3.05,3.16,5.61M
2022/4/28,3.16,3.2,3.08,3.13,1.29M
2022/4/29,3.3,3.54,3.15,3.49,5.10M
2022/5/3,3.55,3.67,3.37,3.63,1.32M
2022/5/4,3.48,3.76,3.48,3.58,1.67M
2022/5/5,3.53,3.63,3.28,3.28,7.97M
2022/5/6,3.2,3.24,3.13,3.16,4.00M
2022/5/10,3.06,3.15,2.99,3,9.05M
2022/5/11,3.01,3.13,2.99,3,7.55M
2022/5/12,2.98,2.99,2.84,2.85,6.83M
2022/5/13,2.89,2.95,2.86,2.91,3.73M
2022/5/16,3.03,3.14,2.94,3.11,11.29M
2022/5/17,3.14,3.37,3.11,3.32,8.44M
2022/5/18,3.32,3.41,3.22,3.36,7.54M
2022/5/19,3.28,3.42,3.17,3.38,5.10M
2022/5/20,3.5,3.59,3.39,3.45,8.82M
2022/5/23,3.49,3.49,3.29,3.32,2.68M
2022/5/24,3.3,3.34,3.16,3.19,4.11M
2022/5/25,3.19,3.24,3.14,3.17,2.23M
2022/5/26,3.17,3.22,3.08,3.2,4.24M
2022/5/27,3.29,3.55,3.22,3.4,10.75M
2022/5/30,3.4,3.61,3.4,3.59,8.73M
2022/5/31,3.58,3.74,3.56,3.7,10.37M
2022/6/1,3.7,3.78,3.63,3.69,4.52M
2022/6/2,3.6,3.7,3.58,3.65,2.71M
2022/6/6,3.7,3.95,3.66,3.92,8.49M
2022/6/7,4,4.29,3.96,4.07,13.25M
2022/6/8,4.15,4.39,4.15,4.37,10.62M
2022/6/9,4.67,4.8,4.45,4.47,17.86M
2022/6/10,4.45,6.48,4.35,6.23,88.54M
2022/6/13,7.16,12.5,7.16,8.72,255.61M
2022/6/14,9.46,10.74,9.09,10.74,182.38M
2022/6/15,12.34,16.78,12.34,16.56,260.94M
2022/6/16,19.04,33.15,19.04,28.6,427.07M
2022/6/17,29.35,30.45,21,25,245.40M
2022/6/20,23,24.5,16.82,16.98,212.13M
2022/6/21,16.36,19.46,15.52,17.5,215.26M
2022/6/22,18,20.75,17.94,19.38,144.91M
2022/6/23,19.94,20.8,18.08,18.18,93.34M
2022/6/24,18.18,18.94,17.2,18.58,56.35M
2022/6/27,18.92,19.1,16,16.88,89.34M
2022/6/28,16.9,17.6,16.26,16.84,48.53M
2022/6/29,17.2,17.88,16.86,17.18,41.78M
2022/6/30,17.82,20.15,17.6,18.84,101.27M
2022/7/4,18.36,18.84,17.64,18.28,35.27M
2022/7/5,18.46,19.2,17.82,18.42,26.27M
2022/7/6,19.5,20.45,18.86,19.3,59.68M
2022/7/7,19.12,19.34,18.58,19.1,16.10M
2022/7/8,19.5,19.94,19.12,19.38,17.80M
2022/7/11,20.5,20.65,19.46,19.7,32.52M
2022/7/12,18.8,18.98,17.9,18.56,24.25M
2022/7/13,18.8,19.12,18.5,18.58,10.92M
2022/7/14,18.78,19.08,17.76,17.82,17.13M
2022/7/15,18.08,18.08,15.12,15.24,69.20M
2022/7/18,15.26,15.66,14.58,15.1,32.38M
2022/7/19,14.92,15.28,14.3,14.76,20.35M
2022/7/20,15.1,15.86,14.92,15.32,27.85M
2022/7/21,15.2,15.52,14.8,15,11.43M
2022/7/22,15.5,15.7,15.12,15.46,13.74M
2022/7/25,15.44,16.3,15.1,15.82,17.93M
2022/7/26,16.22,18.92,16,18.92,49.34M
2022/7/27,18.72,19.78,17.92,18.38,45.20M
2022/7/28,19.3,21.7,18.88,21.4,72.69M
2022/7/29,21.55,22.8,20.6,21.1,67.45M
2022/8/1,21,21.75,19.68,21,27.92M
2022/8/2,20.05,20.3,18.52,19.34,35.29M
2022/8/3,19.82,20.4,19.16,19.36,18.06M
2022/8/4,20,21.65,19.4,21.1,38.31M
2022/8/5,21,22.45,20.7,21.85,28.06M
2022/8/8,21,21.4,19.22,19.76,31.72M
2022/8/9,20.2,20.85,19.62,20.1,17.21M
2022/8/10,20.15,20.75,19.74,20.05,12.88M
2022/8/11,20.55,21.5,20.4,20.95,19.70M
2022/8/12,20.8,21,19.6,19.78,21.39M
2022/8/15,20.3,20.65,19.22,19.24,16.73M
2022/8/16,19.46,19.52,18.36,18.6,18.98M
2022/8/17,18.98,18.98,18.08,18.96,11.79M
2022/8/18,18.8,18.8,18,18.04,11.78M
2022/8/19,18.24,18.7,18.16,18.34,8.26M
2022/8/22,18.68,19.3,18.48,18.98,13.73M
2022/8/23,19.48,20.45,19.14,19.92,22.05M
2022/8/24,20.4,21.2,19.96,20.25,22.98M
2022/8/25,20.25,20.8,19.92,20.6,12.91M
2022/8/26,20.8,22.15,20.7,21.65,30.83M
2022/8/29,24.85,25,22.25,22.85,34.72M
2022/8/30,23.1,29.45,22.25,28.85,93.43M
2022/8/31,28.2,30.95,26.9,29.8,69.26M
2022/9/1,30,33.3,29.7,30.25,63.58M
2022/9/2,30.8,34.4,30.55,34,42.76M
2022/9/5,36,36.45,28,28.6,91.14M
2022/9/6,30.7,37.6,29.8,37.6,74.64M
2022/9/7,35.95,37.3,30.6,33.95,66.79M
2022/9/8,34.2,36.75,32.75,33.8,41.16M
2022/9/9,34,34.75,32,33,21.74M
2022/9/13,32.5,32.65,29.8,31.25,30.72M
2022/9/14,30.25,33.25,30.05,32.1,22.38M
2022/9/15,31.5,32.4,30.15,30.85,22.19M
2022/9/16,31.15,31.7,28.85,29.25,25.24M
2022/9/19,29.7,30.45,28.3,28.4,14.17M
2022/9/20,28.4,28.9,27.05,27.75,21.68M
2022/9/21,27.75,27.75,25.85,26.45,22.87M
2022/9/22,26.3,28.5,25.7,27.95,26.24M
2022/9/23,28.05,29.6,26.2,26.7,26.23M
2022/9/26,27.6,30.15,27.5,29.9,35.28M
2022/9/27,30.75,30.8,28.25,29.45,23.14M
2022/9/28,29.55,29.9,28.6,28.9,11.59M
2022/9/29,29.65,29.8,28,28.9,3.19M
2022/9/30,29.05,30.8,28.3,29.45,5.46M
2022/10/3,29.9,33.2,28.5,32.9,7.13M
2022/10/5,33.3,35.35,33.05,34,7.95M
2022/10/6,34.5,37,33.55,36.9,10.31M
2022/10/7,36.75,36.75,33.8,35.1,7.19M
2022/10/10,32.95,33.45,30.55,30.9,21.31M
2022/10/11,30.45,32.5,30.45,30.85,14.44M
2022/10/12,31.2,32,29.1,31.65,14.26M
2022/10/13,31.7,32.75,30.45,30.6,11.09M
2022/10/14,31.3,32.8,30.8,32,16.12M
2022/10/17,31.9,32.15,29.75,31.7,14.96M
2022/10/18,32.2,32.7,31.5,31.9,14.87M
2022/10/19,32.15,35.1,31.75,34.5,31.44M
2022/10/20,34.4,35.1,33.2,34.15,12.88M
2022/10/21,34.5,37,34.45,36,22.47M
2022/10/24,35.8,35.8,30.5,30.6,29.84M
2022/10/25,30.6,34.55,29.35,34.15,31.61M
2022/10/26,35.4,37.8,35,36.2,31.36M
2022/10/27,39.3,42.7,39,39.1,46.08M
2022/10/28,39.55,40.35,37.65,40.35,28.16M
2022/10/31,40.45,40.45,36.75,38.05,29.82M
2022/11/1,38,39.8,37.1,38.9,15.55M
2022/11/2,39.45,40.3,37.2,39.1,16.04M
2022/11/3,38.6,42,37.85,41.3,22.17M
2022/11/4,41.85,42.6,40.7,42.2,21.01M
2022/11/7,42,45.5,41.25,42.7,21.43M
2022/11/8,43.1,43.55,41.55,42.5,12.27M
2022/11/9,42.15,43.05,39.6,39.9,19.74M
2022/11/10,39.3,40.85,37.95,38.75,13.90M
2022/11/11,40.65,41.6,38.8,40,17.02M
2022/11/14,39.1,41.25,37.75,39.1,18.34M
2022/11/15,38.95,40.65,38.4,38.8,16.42M
2022/11/16,39.4,41.75,38.8,40.15,19.05M
2022/11/17,39.7,40.05,38,39.4,12.04M
2022/11/18,39.7,44,39.3,41.7,25.02M
2022/11/21,42.4,42.4,39.05,39.35,15.24M
2022/11/22,39.95,39.95,38.3,38.6,10.09M
2022/11/23,38.6,39.3,38.2,38.5,6.40M
2022/11/24,38.7,40.6,38.7,39.6,8.61M
