Date,Open,High,Low,Close,Volume
2022/1/3,48.9,50.2,48.25,49.9,1.99M
2022/1/4,49.8,50.55,48.55,49.7,1.92M
2022/1/5,49.7,49.7,47.05,47.3,3.98M
2022/1/6,47.1,47.6,44.3,47.3,4.44M
2022/1/7,47.3,48.85,46.4,48.25,2.85M
2022/1/10,48.2,50.5,47.15,49.9,1.78M
2022/1/11,48.75,50.15,48.55,49.2,1.62M
2022/1/12,50.5,53.4,49.6,53.1,5.01M
2022/1/13,53,53.75,51.05,51.6,1.96M
2022/1/14,50.45,51.45,49.3,51.45,1.97M
2022/1/17,51.45,52.05,50.1,50.7,1.47M
2022/1/18,50.7,51.85,49.6,50.9,1.88M
2022/1/19,50.9,51.4,49.65,50.25,1.22M
2022/1/20,50.25,53.3,49.8,53,2.63M
2022/1/21,53.1,55,51.95,53.5,3.26M
2022/1/24,53.5,53.5,51.5,52.35,1.47M
2022/1/25,52,52,47.6,48.25,4.26M
2022/1/26,48.5,49.5,47.65,49.05,3.99M
2022/1/27,48.05,49.15,46.8,47.9,2.59M
2022/1/28,47.9,47.9,46.2,46.35,1.94M
2022/1/31,46.2,47.2,45.6,46.9,999.53K
2022/2/4,47.15,50,47.1,49.55,2.26M
2022/2/7,49.55,49.85,46.3,48.2,3.33M
2022/2/8,48.05,48.2,46.45,47.2,1.78M
2022/2/9,48.15,48.5,46.7,47.4,2.18M
2022/2/10,48.65,49.2,47.95,48.9,2.52M
2022/2/11,49.8,49.8,47.25,47.85,2.06M
2022/2/14,47.1,47.85,45.6,46.65,1.66M
2022/2/15,46.1,46.65,45.3,46.05,1.10M
2022/2/16,46.65,46.95,46.1,46.2,1.38M
2022/2/17,46.2,46.8,45.15,45.95,1.26M
2022/2/18,45.25,46.2,44.6,44.9,1.40M
2022/2/21,44.55,44.95,43.7,44.65,2.69M
2022/2/22,44,44.25,42.85,43.2,2.03M
2022/2/23,42.7,44.3,42.7,43,2.08M
2022/2/24,43,43,41.4,42,2.29M
2022/2/25,43.75,43.75,41.35,41.45,991.11K
2022/2/28,41.7,42.45,40.55,42.15,2.19M
2022/3/1,42.45,42.7,41.7,41.9,1.60M
2022/3/2,41.65,42,40.45,40.5,1.24M
2022/3/3,40.5,41.4,40.2,40.55,1.80M
2022/3/4,40.35,40.35,38.3,39.85,5.82M
2022/3/7,38.95,39.15,37.6,37.8,3.33M
2022/3/8,37.8,38.75,36.65,36.85,4.86M
2022/3/9,36.85,37.25,35.4,36.35,6.10M
2022/3/10,37.1,38.15,36.15,36.55,5.53M
2022/3/11,35.55,35.55,32.7,33.8,9.36M
2022/3/14,33,33.7,30.75,31.15,9.81M
2022/3/15,30.15,30.15,23,23.65,22.37M
2022/3/16,25.2,27.75,23.1,26.9,25.99M
2022/3/17,30.1,31.2,29.2,31.15,11.56M
2022/3/18,31,31,27.75,29.3,7.34M
2022/3/21,30.65,30.8,28.05,28.5,5.06M
2022/3/22,28.6,31.5,28.6,31.25,4.97M
2022/3/23,32.85,35.95,31.65,33.9,16.60M
2022/3/24,34,36.1,32.55,33.95,10.14M
2022/3/25,33.75,34.55,30.6,31.05,5.85M
2022/3/28,31.05,32.9,29.5,32.05,5.47M
2022/3/29,32.65,33.5,31.8,32.5,2.57M
