Stock,Predict_close_price,Open_price
0020,1.19072272617656,1.05
0241,3.603209911856537,3.68
0268,10.67320013033942,10.78
0285,33.98156928948566,34.95
0522,72.68066719008179,70.23
0700,288.6130631366914,290.0
0772,29.21340759844674,30.4
0780,16.76494418764853,16.36
0981,16.87333480560975,17.46
0992,10.54562635983871,10.5
1024,47.13877540539565,48.5
1347,19.00440277776495,18.48
1797,27.04352961742395,27.5
1810,14.40528938207503,14.42
2015,123.2006911185004,124.6
3690,80.13788607432666,75.25
3888,21.99394748188854,22.25
6060,16.74818123826014,16.04
6618,35.15547627897389,32.25
6690,22.29717824671298,21.85
9618,100.4022414952909,97.2
9626,83.46278981669542,84.85
9868,42.56656971211911,46.35
9888,107.3627934527849,107.3
9961,287.8931163980293,295.0
9988,69.631529202218,69.51
9999,141.6323815206504,142.2
