Stock,Predict_close_price,Open_price
0020,1.145954536494549,0.91
0241,3.385835717881916,3.18
0268,9.664051313168759,9.63
0285,31.89664233256453,30.5
0522,70.13926879568675,71.77
0700,279.2163070146806,274.6
0772,28.09747926102383,26.9
0780,15.58633973241641,15.48
0981,15.87032775419153,15.88
0992,10.11930436990092,9.45
1024,41.2060028298293,43.35
1347,18.31148509862888,17.16
1797,25.44328572164047,24.7
1810,13.21383369262084,13.02
2015,115.2118422048473,114.1
3690,80.41758244950242,69.15
3888,19.50925278364837,20.3
6060,15.24902152460424,14.94
6618,34.01209260370636,27.75
6690,21.46231889250721,21.25
9618,97.30376559319676,87.45
9626,85.02506924099121,76.0
9868,39.39663071814759,39.15
9888,100.9558595559286,99.5
9961,284.816883683018,280.8
9988,69.28673521377421,66.53
9999,138.8696865796957,137.0
