Stock,Predict_close_price,Open_price
0020,1.12905490850516,0.91
0241,3.382430879329039,3.22
0268,9.554531481052367,9.45
0285,31.71427415569572,31.0
0522,72.24018803346763,71.12
0700,274.0429974252608,275.0
0772,28.04491729077576,27.2
0780,15.49217082868651,15.32
0981,15.67495742276904,16.0
0992,10.15287451252735,9.68
1024,39.6531065188992,43.0
1347,16.67711303652986,18.08
1797,24.28068986240291,25.55
1810,13.15906910082889,13.3
2015,109.0496668670338,112.8
3690,79.90305506484353,69.6
3888,19.201226347218,19.56
6060,15.21073538700205,14.54
6618,34.55169375545596,27.8
6690,21.53646683544056,21.3
9618,97.30376559319676,85.25
9626,80.78450747315549,76.0
9868,37.71098288423326,38.55
9888,100.8851959107006,100.8
9961,282.8765404673209,284.2
9988,68.21316391937853,65.54
9999,139.6062672321435,140.0
