Stock,Predict_close_price,Open_price
0020,1.195004898927637,0.84
0241,3.364502785881396,3.0
0268,9.436121261503642,8.57
0285,31.73543850308446,28.5
0522,73.46071679447253,73.56
0700,267.9408081934437,266.8
0772,27.6703016068071,26.65
0780,15.28337738380049,15.02
0981,15.30930037855631,15.0
0992,10.16761065066166,9.79
1024,40.0716809720526,41.05
1347,16.84386174366427,16.0
1797,24.73144640289329,23.8
1810,13.16818907880751,13.0
2015,109.8296181522736,105.0
3690,78.8559229339029,65.65
3888,19.8771152472643,18.8
6060,14.99282117937683,12.64
6618,34.70670827247177,27.05
6690,21.47247356064799,21.45
9618,97.89661481535413,84.1
9626,84.877651680295,71.05
9868,37.0093599638995,36.2
9888,99.79839488996609,96.0
9961,277.2317898293718,269.4
9988,69.99416548338846,66.04
9999,143.2832114309461,140.9
