Stock,Predict_close_price,Open_price
0020,1.192563338969559,1.05
0241,3.362810911379083,2.79
0268,9.097798900165738,5.62
0285,25.40435486395102,25.7
0522,77.52285700803556,78.0
0700,376.4244947841449,372.6
0772,26.31456238603088,24.95
0780,14.20790064336317,14.36
0981,15.51811459899649,15.5
0992,9.525883972540903,9.25
1024,39.18257253304361,38.1
1347,17.13092462759897,15.56
1797,16.46254224022346,12.06
1810,16.57269981510532,18.98
2015,74.14968447992669,74.1
3690,123.8614921550219,123.2
3888,21.92134091949575,21.8
6060,16.04148587700774,9.63
6618,35.96719674428009,22.5
6690,23.97551362251352,23.7
9618,102.9499859697518,102.0
9626,116.090922729422,115.7
9868,35.62434797755269,34.6
9888,89.48243951459048,81.15
9961,316.0732729564511,365.0
9988,82.35104961637163,81.85
9999,119.5652864959221,119.5
