Stock,Predict_close_price,Open_price
0020,1.19477789970294,0.84
0241,3.620420530229885,3.5
0268,10.01525094841695,9.96
0285,32.27267427125503,30.35
0522,85.69020606870171,100.46
0700,292.4661304098457,295.2
0772,27.23939015277633,28.5
0780,18.7051238663831,19.9
0981,16.78075514554181,16.98
0992,9.724391419697778,9.6
1024,50.81909073125718,53.45
1347,17.26053538819069,16.74
1797,23.77825987057858,23.4
1810,15.13785007835853,14.74
2015,135.2704820465026,136.0
3690,86.76737881155876,90.0
3888,24.27908075599892,24.55
6060,16.37809726720798,12.62
6618,36.13702210698962,33.0
6690,23.02953539765958,23.55
9618,109.8339241228378,109.8
9626,97.53286177856457,97.3
9868,38.7653811293223,37.9
9888,102.4565096009916,101.9
9961,315.8997963868642,350.0
9988,72.09127393457658,71.89
9999,166.8008429323222,167.5
