Stock,Predict_close_price,Open_price
0020,1.143972836562226,1.08
0241,3.56184289892782,3.26
0268,9.470177009878093,5.94
0285,30.94773869337833,28.3
0522,74.26644893081193,74.7
0700,367.8254176071325,361.2
0772,25.56212896112449,25.0
0780,13.28433693160134,13.8
0981,15.62282827561802,15.78
0992,10.20907446645003,9.62
1024,41.86029452375696,42.7
1347,19.12169796841537,19.08
1797,16.47700755365138,12.1
1810,15.86176422624102,15.74
2015,73.27013879476911,74.0
3690,96.77874647852148,104.5
3888,21.18049264739512,20.5
6060,16.26019270483074,13.24
6618,35.93233424909918,21.35
6690,23.97413162616708,23.7
9618,101.8757302207268,98.8
9626,118.024743737329,118.0
9868,29.78254743721551,26.9
9888,88.58702481379784,80.5
9961,305.9837637381328,320.8
9988,77.03272781972044,75.75
9999,134.866298044498,136.5
